Date ,Rate ,Topic ,Review ,Type 
2019/08,5,Worth every minute,"Fine museum with something for everyone of every age! Wonderful paintings both contemporary and traditional, a huge carved buddah, a mummy and sarcophogus, Japanese swords, and too many more wonderful things to mention. Do not miss!",
2019/11,5,A hidden gem,"RISD Museum of Art was bigger than I expected. The Gorham exhibit was fascinating and informative. The ""Raid the Icebox 2"" exhibits were terrific. A re-do from 50 years ago when RISD invited Andy Warhol to raid the icebox (storage) and create an exhibit, this year RISD invited 10 current artists to do the same. So fun to see the unique ways to show the artwork.",
2019/11,4,Nice to visit on a rainy Sunday,"It is a very small museum, but the best parts are the Pendleton House and the Gorham Silverware exhibit.",
2019/11,5,A Quality Art Museum In Historic Providence,"Recently,I returned to Providence and the delighful RIsd Art Museum.I devoted my day to studying its quality European paintings and sculpture.I did not see everything in this art museum that has a broad range of Art.Old Master personal favorites were Spinello Aretino's""Saint Anthony Abbott Enthroned"",Jacopo di Cione's""Taking of Saint Peter"",Giusseppe Cesari's""Perseus and Andromeda"".Aert de Gelder's""Esther and Mordecai"",Francisco Collantes'""Hagar and Ishmael"".Marinus Van Reymerswaele's""Money Changers"",and Giovanni Pannini's""Colliseum"".19th Century favorites were Jean Victor Bertin's""Tivoli"",Edouard Manet's""Repose"",Claude Monet's""Bassin At Argentieul""(awesome French Impressionism),Carolus Duran's""Portrait of Manet"",and Edgard Degas'""La Savoissiene"".I also savored the fine Gothic and Renaissance Period sculptural works that were on display such as Ivory Diptych from 13th Century France depicting Nativity and Crucifixion,and Tillman Riemenschneider's ""Pieta"",among others..Kudos to a fine art museum in historic Providence.",
2019/11,5,,"We had 1 day in Providence. The RISD Museum was on our Must-Do list and it did not disappoint!

Varied types of exhibits for all to enjoy & the current Gorham collection. Our young children enjoyed the museum as well - they wanted to sit and sketch like a number of other museum guests on the 3rd floor by the Modern and Contemporary art.

We visited on a Thursday AM and paid for parking in a local lot. We did our homework regarding visitors fees, lockers, personal bag size requirements. Musuem was easy to navigate. We enjoyed the Cafe Pearl for a coffee and snack. Very friendly staff all throughout the museum. We are glad we visited - RISD Museum was on our bucket list.",
2019/11,4,"Eclectic collection, something for everyone","RISD Museum is fairly small so can be tackled easily in a couple of hours. It houses a very eclectic collection, from ancient Egyptian mummies to the most avant garde works of today. Enjoyable and fairly admirable museum, especially for a less than huge city.",couple
2019/10,4,Beautiful small city and museum,"For a small museum it has world class pieces from contemporary, impressionist and renaissance pieces. The Gorham silver exhibit was extensive and fascinating.",
2019/10,5,surprising and rich also with for kids,"interesting collections and beautiful spaces, we spent a couple of hours and did not manages to tour the entire museum. The variety is such that also a 10y old can find something to enjoy!",
2018/11,5,An Amazing Destination for Art Lovers,"As a RISD alum, I'm naturally biased, but the Museum of Art at the Rhode Island School of Design is an amazing destination for a day trip in southern New England. Paintings, prints, sculpture that runs the gamut of artistic syles can be found right here in Providence, Rhode Island. Why not check it out?!",
2019/09,5,Eclectic Things to Enjoy,"RISD offers art, theater and music - from modern and classical. I've enjoyed everything from modern dance, ethnic music, famous antique silverware, movies, student and professional artworks, etc. Everything has been high quality, free and open to the public.",
